,Name,Total board members,Number of women board members,% women board members,Total number of executive board members,Number of  women executive board members,% women over total executive board members,Total number of proprietary board members,Number of women proprietary board members,% women over total proprietary board members,Total number of independent board members,Number of women independent board members,% women over total independent board members,Total number of other external board members,Number of women other external board members,%  women over total other external board members,Number of key executives no members of the board,Number of women key executives no members of the board,% total women key executives no members of the board
0,Adolfo Dominguez,7,4,0.571428571428571,1,1,1,2,1,0.5,4,2,0.5,0,0,,7,6,0.857142857142857
1,Airtificial,9,1,0.111111111111111,1,0,0,4,1,0.25,3,0,0,1,0,0,7,1,0.142857142857143
2,Amper,8,3,0.375,1,0,0,3,0,0,4,3,0.75,0,0,,1,0,0
3,Arima Real Estate,7,1,0.142857142857143,2,1,0.5,1,0,0,4,0,0,0,0,,0,0,
4,Atrys Health,12,4,0.333333333333333,2,1,0.5,6,2,0.333333333333333,4,1,0.25,0,0,,10,3,0.3
5,Azkoyen,8,1,0.125,1,0,0,5,1,0.2,2,0,0,0,0,,10,0,0
6,Bodegas Riojanas,10,3,0.3,1,0,0,6,2,0.333333333333333,3,1,0.333333333333333,0,0,,2,0,0
7,Clinica Baviera,7,2,0.285714285714286,1,0,0,4,1,0.25,2,1,0.5,0,0,,6,1,0.166666666666667
8,Codere,8,0,0,0,0,,0,0,,0,0,,0,0,,9,0,0
9,Cevasa,8,2,0.25,1,0,0,4,0,0,2,1,0.5,1,1,1,2,0,0
10,Cleo,5,1,0.2,1,0,0,2,0,0,2,1,0.5,0,0,,4,1,0.25
11,Deoleo,6,2,0.333333333333333,1,0,0,3,1,0.333333333333333,2,1,0.5,0,0,,11,3,0.272727272727273
12,DESA,13,1,0.0769230769230769,1,0,0,8,1,0.125,3,0,0,1,0,0,2,1,0.5
13,Duro Felguera,7,2,0.285714285714286,1,0,0,0,0,,4,1,0.25,2,1,0.5,5,1,0.2
14,Ecolumber,13,2,0.153846153846154,1,0,0,8,1,0.125,4,1,0.25,0,0,,0,0,
15,Ercros,6,2,0.333333333333333,1,0,0,1,0,0,2,2,1,2,0,0,3,0,0
