,Name,Total board members,Number of women board members,% women board members,Total number of executive board members,Number of  women executive board members,% women over total executive board members,Total number of proprietary board members,Number of women proprietary board members,% women over total proprietary board members,Total number of independent board members,Number of women independent board members,% women over total independent board members,Total number of other external board members,Number of women other external board members,%  women over total other external board members,Number of key executives no members of the board,Number of women key executives no members of the board,% total women key executives no members of the board
3,Adolfo dominguez,7,4,0.571428571428571,1,1,1,2,1,0.5,4,2,0.5,0,0,,7,6,0.857142857142857
4,Airtificial intelligence structures,9,1,0.111111111111111,1,0,0,4,1,0.25,3,0,0,1,0,0,7,1,0.142857142857143
5,Amper,8,3,0.375,1,0,0,3,0,0,4,3,0.75,0,0,,1,0,0
6,Arima real estate socimi,7,1,0.142857142857143,2,1,0.5,1,0,0,4,0,0,0,0,,0,0,
7,Atrys health,12,4,0.333333333333333,2,1,0.5,6,2,0.333333333333333,4,1,0.25,0,0,,10,3,0.3
8,Azkoyen,8,1,0.125,1,0,0,5,1,0.2,2,0,0,0,0,,10,0,0
9,Bodegas riojanas,10,3,0.3,1,0,0,6,2,0.333333333333333,3,1,0.333333333333333,0,0,,2,0,0
10,Clinica baviera,7,2,0.285714285714286,1,0,0,4,1,0.25,2,1,0.5,0,0,,6,1,0.166666666666667
11,Codere,8,0,0,0,0,,0,0,,0,0,,0,0,,9,0,0
12,Compañia española de viviendas en alquiler,8,2,0.25,1,0,0,4,0,0,2,1,0.5,1,1,1,2,0,0
13,Compañia levantina de edificacion y obras publicas,5,1,0.2,1,0,0,2,0,0,2,1,0.5,0,0,,4,1,0.25
14,Deoleo,6,2,0.333333333333333,1,0,0,3,1,0.333333333333333,2,1,0.5,0,0,,11,3,0.272727272727273
15,Desarrollos especiales de sistemas de anclajes,13,1,0.0769230769230769,1,0,0,8,1,0.125,3,0,0,1,0,0,2,1,0.5
16,Duro felguera,7,2,0.285714285714286,1,0,0,0,0,,4,1,0.25,2,1,0.5,5,1,0.2
17,Ecolumber,13,2,0.153846153846154,1,0,0,8,1,0.125,4,1,0.25,0,0,,0,0,
18,Ercros,6,2,0.333333333333333,1,0,0,1,0,0,2,2,1,2,0,0,3,0,0
19,General de alquiler de maquinaria,6,2,0.333333333333333,1,0,0,2,1,0.5,3,1,0.333333333333333,0,0,,9,3,0.333333333333333
20,Grupo ecoener,10,3,0.3,2,0,0,3,1,0.333333333333333,5,2,0.4,0,0,,6,0,0
21,Grupo empresarial san jose,11,2,0.181818181818182,4,0,0,1,0,0,3,1,0.333333333333333,3,1,0.333333333333333,9,0,0
22,Grupo ezentis,7,4,0.571428571428571,0,0,,3,2,0.666666666666667,4,2,0.5,0,0,,5,0,0
23,Iberpapel gestion,9,2,0.222222222222222,2,0,0,1,0,0,3,1,0.333333333333333,3,1,0.333333333333333,7,0,0
24,Inmobiliaria del sur,15,2,0.133333333333333,1,0,0,11,1,0.0909090909090909,3,1,0.333333333333333,0,0,,1,0,0
